id,amount,currency,tax_id,description,"""timestamp""",effective_time,principal_id,account_code,kind,month,quantity,price_per_unit,amount_multiplier,key
7425,5.44,0,2,"Usages for Mochido Fryer for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,272,401,2,202211,3.110277777777778,1.75,,
7426,0.40,0,2,"Usages for Double Burner for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,272,401,2,202211,0.27,1.5,,
7427,90.16,0,2,"Usages for Oven 1 for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,272,401,2,202211,60.10722222222222,1.5,,
7428,84.63,0,2,"Usages for Range for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,272,401,2,202211,56.417777777777765,1.5,,
7429,0.0,0,2,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,272,401,2,202211,0,1.5,,
7431,6.86,0,2,"Usages for Large Mixer for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,279,401,2,202211,3.9219444444444447,1.75,,
7432,29.68,0,2,"Usages for Fryer for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,279,401,2,202211,15.219166666666668,1.95,,
7433,17.54,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,279,401,2,202211,10.024444444444445,1.75,,
7434,4.98,0,2,"Usages for Oven 4 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,279,401,2,202211,2.846944444444444,1.75,,
7435,17.32,0,2,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,223,401,2,202211,17.32083333333333,1,,
7436,15.66,0,2,"Usages for Range Left for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,223,401,2,202211,9.491944444444446,1.65,,
7437,21.30,0,2,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,223,401,2,202211,9.466388888888888,2.25,,
7438,4.40,0,2,"Usages for Large Mixer for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,223,401,2,202211,2.516388888888889,1.75,,
7439,23.23,0,2,"Usages for Burner 2 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,223,401,2,202211,10.325555555555557,2.25,,
7440,0.61,0,2,"Usages for Small Mixer for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,223,401,2,202211,0.4038888888888889,1.5,,
9915,374,0,2,6-Foot Steel Table,2023-05-19 19:53:16.445358+00,2023-05-19 19:52:48.659+00,576,400,0,,1,374,,
7441,0.01,0,2,"Usages for Burner 3 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,223,401,2,202211,0.009444444444444445,1.5,,
7442,17.19,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,189,401,2,202211,9.824444444444445,1.75,,
7443,21.76,0,2,"Usages for Range Left for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,189,401,2,202211,13.188888888888888,1.65,,
7444,4.86,0,2,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,189,401,2,202211,4.8630555555555555,1,,
7445,13.64,0,2,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,189,401,2,202211,6.061111111111111,2.25,,
7446,2.69,0,2,"Usages for Oven 2 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,189,401,2,202211,1.5372222222222223,1.75,,
7447,1.00,0,2,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,247,401,2,202211,0.6641666666666666,1.5,,
7448,111.47,0,2,"Usages for Oven 4 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,63.69861111111111,1.75,,
7449,113.16,0,2,"Usages for Oven 5 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,64.66222222222223,1.75,,
7450,125.45,0,2,"Usages for Oven 6 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,71.68555555555555,1.75,,
7451,46.83,0,2,"Usages for Oven 2 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,26.758888888888883,1.75,,
7452,56.45,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,32.255,1.75,,
7453,115.51,0,2,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,51.3375,2.25,,
7454,85.13,0,2,"Usages for Burner 3 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,56.75222222222222,1.5,,
7455,168.17,0,2,"Usages for Burner 2 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,74.74416666666667,2.25,,
7456,38.15,0,2,"Usages for Range Left for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,23.120555555555555,1.65,,
7457,13.02,0,2,"Usages for Small Mixer for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,8.680833333333332,1.5,,
7458,94.61,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,54.065,1.75,,
7459,43.66,0,2,"Usages for Large Mixer for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,24.94694444444444,1.75,,
7460,12.92,0,2,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,125,401,2,202211,12.92,1,,
7461,237.38,0,2,"Usages for Mochido Fryer for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,234,401,2,202211,135.64833333333334,1.75,,
7462,22.81,0,2,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,234,401,2,202211,15.207500000000003,1.5,,
7463,0.00,0,2,"Usages for Oven 1 for the month of Nov, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,234,401,2,202211,0.0002777777777777778,1.5,,
7464,11.43,0,2,"Usages for Mochido Fryer for the month of Oct, 2022 at Laurel Street Upstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,234,401,2,202210,6.530833333333334,1.75,,
7465,56.79,0,2,"Usages for Burner 3 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,44,401,2,202211,37.86222222222223,1.5,,
7466,99.66,0,2,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,44,401,2,202211,44.29388888888889,2.25,,
7467,20.54,0,2,"Usages for Burner 2 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,44,401,2,202211,9.130555555555556,2.25,,
7468,2.39,0,2,"Usages for Double Low Burner for the month of Oct, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,44,401,2,202210,1.0611111111111111,2.25,,
7469,348.97,0,2,"Usages for Goodly - Kettle 1 for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,78,401,2,202211,69.79416666666667,5,,
7470,744.81,0,2,"Usages for Goodly - Kettle 2 for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,78,401,2,202211,148.96249999999998,5,,
7471,0.00,0,2,"Usages for Dble Burner 3 (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,78,401,2,202211,0.0008333333333333334,1.75,,
7472,3.06,0,1,"Usages for Oven 2 for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,78,,2,202211,2.265,1.35,,
7473,50.31,0,2,"Usages for Oven 4 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,179,401,2,202211,28.74888888888889,1.75,,
7474,0.85,0,2,"Usages for Mixer for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,179,401,2,202211,0.49833333333333335,1.7,,
7475,29.02,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,179,401,2,202211,16.584444444444443,1.75,,
7476,1.33,0,2,"Usages for Oven 2 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,179,401,2,202211,0.76,1.75,,
7477,1.58,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,285,401,2,202211,0.9055555555555556,1.75,,
7478,1.65,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,285,401,2,202211,0.9416666666666667,1.75,,
7479,28.15,0,2,"Usages for Oven 2 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,285,401,2,202211,16.08555555555556,1.75,,
7480,1.70,0,2,"Usages for Mixer for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,285,401,2,202211,1.0008333333333332,1.7,,
7481,22.24,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,172,401,2,202211,12.709722222222222,1.75,,
7482,19.84,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,172,401,2,202211,11.33638888888889,1.75,,
7483,18.83,0,2,"Usages for Oven 2 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,172,401,2,202211,10.759444444444444,1.75,,
7484,23.90,0,2,"Usages for Oven 4 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,172,401,2,202211,13.659444444444443,1.75,,
7485,95.61,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,273,401,2,202211,54.63166666666667,1.75,,
7486,31.42,0,2,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,273,401,2,202211,31.41916666666666,1,,
7487,78.81,0,2,"Usages for Burner 3 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,273,401,2,202211,52.54333333333334,1.5,,
7488,16.63,0,2,"Usages for Range Left for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,273,401,2,202211,10.077222222222224,1.65,,
7489,1.39,0,2,"Usages for Burner 2 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,273,401,2,202211,0.6191666666666666,2.25,,
7490,6.25,0,2,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,273,401,2,202211,2.779166666666667,2.25,,
7491,9.37,0,2,"Usages for Dble Burner 3 (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,167,401,2,202211,5.352499999999999,1.75,,
7492,33.79,0,2,"Usages for Dble Burner 2 (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,167,401,2,202211,19.30666666666667,1.75,,
7493,350.60,0,2,"Usages for Kirin - Wok for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,167,401,2,202211,200.34277777777777,1.75,,
7494,350.59,0,2,"Usages for Kirin - Steamer for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,167,401,2,202211,200.33916666666673,1.75,,
7495,127.17,0,2,"Usages for Dble Burner 1 (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,167,401,2,202211,72.66944444444444,1.75,,
7496,17.78,0,2,"Usages for Dble Burner 4 (Right) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,167,401,2,202211,10.160277777777777,1.75,,
7497,13.30,0,2,"Usages for Fryer (Left) for the month of Nov, 2022 at Laurel Street - Downstairs",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,167,401,2,202211,8.867222222222223,1.5,,
7498,9.98,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,252,401,2,202211,5.700555555555556,1.75,,
7499,1.06,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,252,401,2,202211,0.6083333333333333,1.75,,
7500,5.97,0,2,"Usages for Oven 4 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,252,401,2,202211,3.4088888888888884,1.75,,
7501,37.21,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,275,401,2,202211,21.261111111111113,1.75,,
7502,0.00,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,275,401,2,202211,0.0011111111111111111,1.75,,
7503,36.72,0,2,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,251,401,2,202211,16.32111111111111,2.25,,
7504,0.69,0,2,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,251,401,2,202211,0.6938888888888889,1,,
7505,17.84,0,2,"Usages for Double Low Burner for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,229,401,2,202211,7.927777777777778,2.25,,
7506,0.00,0,2,"Usages for Range Left for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,229,401,2,202211,0.0011111111111111111,1.65,,
7507,1.54,0,2,"Usages for Burner 3 for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,229,401,2,202211,1.0252777777777777,1.5,,
7508,0.24,0,2,"Usages for Range Right for the month of Nov, 2022 at 401 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,229,401,2,202211,0.24416666666666664,1,,
7509,14.24,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,287,401,2,202211,8.136666666666667,1.75,,
7510,1.23,0,2,"Usages for Oven 4 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,287,401,2,202211,0.7013888888888888,1.75,,
7511,8.81,0,2,"Usages for Oven 2 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,164,401,2,202211,5.033333333333332,1.75,,
7512,10.69,0,2,"Usages for Oven 1 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,164,401,2,202211,6.106388888888889,1.75,,
7513,10.95,0,2,"Usages for Oven 3 for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,164,401,2,202211,6.258611111111112,1.75,,
7514,6.76,0,2,"Usages for Mixer for the month of Nov, 2022 at 417 Industrial",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,164,401,2,202211,3.975,1.7,,
7826,12.45,0,2,"Usages for Double Low Burner for the month of Dec, 2022 at 401 Industrial",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,401,2,202212,5.532222222222222,2.25,,
7526,1550,0,1,"Half Station $1550 + GST
1 year contract ending March 31, 2023 for the month of December, 2022",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,275,400,4,202212,,,,mo-275-183-2022-12
7527,5390,0,1,"2 Full Stations $5300 + $90 plug-in = $5390 GST
1 year contract ends July 31, 2023 for the month of December, 2022",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,234,400,4,202212,,,,mo-234-185-2022-12
7530,1700,0,1,"$1650 Half station, $25 plug-in charge for ice cream machine & $25 extra cooler rack = $1700 + GST
1 year contract ending May 14, 2023 for the month of December, 2022",2022-12-01 20:55:59.06006+00,2022-12-01 20:55:59.06006+00,247,400,4,202212,,,,mo-247-187-2022-12
7827,20.42,0,2,"Usages for Range Right for the month of Dec, 2022 at 401 Industrial",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,401,2,202212,20.41583333333333,1,,
7828,57.08,0,2,"Usages for Oven 1 for the month of Dec, 2022 at 401 Industrial",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,401,2,202212,32.617222222222225,1.75,,
7829,9.57,0,2,"Usages for Burner 2 for the month of Dec, 2022 at 401 Industrial",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,401,2,202212,4.251944444444445,2.25,,
7830,74.96,0,2,"Usages for Burner 3 for the month of Dec, 2022 at 401 Industrial",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,401,2,202212,49.97555555555555,1.5,,
7831,2.92,0,2,"Usages for Oven 2 for the month of Dec, 2022 at 401 Industrial",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,401,2,202212,1.6713888888888888,1.75,,
7832,9.37,0,2,"Usages for Range Left for the month of Dec, 2022 at 401 Industrial",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,401,2,202212,5.67638888888889,1.65,,
7833,4500,0,1,"1.75 station $4500 + GST
1 year contract ending March 31, 2023 for the month of January, 2023",2023-01-03 23:42:24.734096+00,2023-01-03 23:42:24.734096+00,273,400,4,202212,,,,mo-273-155-2023-1
7835,238.97,0,2,"Usages for Dble Burner 1 (Left) for the month of Dec, 2022 at Laurel Street - Downstairs",2023-01-03 23:50:11.096567+00,2023-01-03 23:50:11.096567+00,168,401,2,202212,136.55666666666664,1.75,,
7836,353.86,0,1,"Usages for Oven 2 for the month of Dec, 2022 at Laurel Street - Downstairs",2023-01-03 23:50:11.096567+00,2023-01-03 23:50:11.096567+00,168,,2,202212,262.116111111111,1.35,,
7837,414.31,0,2,"Usages for Dble Burner 3 (Left) for the month of Dec, 2022 at Laurel Street - Downstairs",2023-01-03 23:50:11.096567+00,2023-01-03 23:50:11.096567+00,168,401,2,202212,236.74833333333333,1.75,,
